0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,Marker,P300
0.19,-0.139,-0.075,-0.076,-0.237,-0.257,-0.581,-0.646,-0.425,-0.201,0.001,0.486,0.649,0.619,0.486,0.466,0.451,0.276,0.24,-0.022,-0.106,-0.179,-0.306,-0.186,-0.022,0.02,0.07,0.102,-0.021,-0.033,-0.111,-0.135,-0.07,-0.098,-0.066,-0.068,0.213,0.261,0.168,0.228,0.106,-0.082,-0.067,0.171,0.278,0.232,0.122,0.269,0.18,0.169,0.412,0.402,0.197,0.169,0.14,0.03,-0.201,-0.123,0.114,0.179,0.091,-0.069,0.32,0.33,-0.031,0.087,0.353,0.155,-0.02,-0.202,-0.349,-0.329,-0.399,-0.23,0.095,0.277,0.574,0.637,0.4,0.401,0.195,-0.076,-0.192,-0.362,-0.18,-0.188,-0.276,-0.025,0.236,0.119,0.044,0.138,0.076,-0.087,-0.126,-0.121,-0.078,-0.058,-0.237,0.189,0.483,2.0,
0.558,0.432,0.904,0.747,0.191,1.091,1.918,2.077,1.373,0.324,-0.69,-1.63,-1.409,-1.914,-2.058,-1.512,-0.288,-0.856,-0.828,0.093,-0.457,-0.591,0.593,1.126,0.419,0.136,0.784,1.259,0.664,0.439,0.913,0.999,0.512,0.589,1.993,2.474,2.543,3.686,3.399,1.791,0.757,0.058,-1.321,-1.96,-1.533,-1.931,-2.055,-0.898,0.057,0.47,0.957,0.606,0.848,1.664,1.051,1.375,2.574,3.169,1.281,-0.373,-0.915,-1.559,-2.154,-2.997,-3.584,-1.918,-0.723,-0.251,-0.46,0.178,2.239,1.367,0.38,-0.035,-1.433,-2.38,-3.824,-3.918,-3.418,-3.116,-2.721,-2.857,-1.193,-0.037,-0.954,-1.674,-2.068,-1.15,-0.456,-0.937,-0.435,1.422,1.84,-0.295,-1.91,-0.623,0.418,0.019,0.404,1.253,0.76,2.0,
-2.116,-1.202,2.199,2.118,1.173,1.045,0.168,-1.019,-3.285,-4.755,-5.467,-5.583,-3.216,-1.686,0.242,2.11,3.077,2.474,2.028,4.203,3.299,0.861,1.46,0.676,-0.248,-1.566,-1.986,-0.595,-0.94,-0.737,-0.105,-0.421,-0.343,0.232,1.377,1.177,2.145,4.635,4.706,3.278,2.183,0.915,-0.754,-1.055,-0.549,-0.762,-0.869,0.577,0.92,1.808,2.673,1.365,0.868,1.026,-0.722,-1.097,-0.812,0.196,-0.347,-1.038,-0.837,-0.64,-0.733,-1.142,-0.502,0.28,-0.869,1.043,2.202,0.321,1.028,0.407,0.005,-0.397,-2.206,-2.485,-3.033,-2.789,-2.657,-2.32,-2.139,-2.29,-1.352,-0.356,-0.714,-0.914,-2.105,-1.525,0.711,-0.14,-1.141,-0.186,1.104,-2.206,-5.147,-3.932,-2.973,-2.703,-1.676,-0.712,-0.389,2.0,
-2.828,-2.267,0.067,-0.175,-0.122,0.929,0.677,-0.402,-1.703,-2.348,-4.466,-6.064,-3.601,-1.438,0.165,1.0,2.192,1.437,0.914,2.698,1.862,0.324,1.237,0.64,-0.369,-1.851,-1.776,-1.113,-1.338,-0.108,0.476,0.211,0.557,1.142,2.689,1.573,1.42,3.891,3.578,1.706,1.086,0.266,-1.274,-0.258,1.535,0.744,0.04,0.948,1.331,1.727,0.782,-0.764,-0.647,-0.187,-1.124,-0.638,0.359,0.732,-0.421,-1.061,-2.07,-3.354,-3.342,-3.567,-3.181,-2.738,-2.381,0.306,1.673,0.867,1.539,1.02,1.815,2.161,0.57,0.25,-0.79,-1.115,-1.708,-1.974,-2.993,-4.541,-3.376,-2.347,-2.887,-2.901,-3.312,-1.889,0.733,1.481,0.566,-0.033,1.028,-1.684,-5.929,-6.199,-4.747,-2.911,-1.452,0.054,1.112,2.0,
-3.283,-3.302,-0.933,-1.016,-0.593,-0.236,0.286,0.067,-1.205,-1.829,-4.057,-4.501,-2.562,-2.044,-0.614,-0.852,0.208,-0.038,-1.058,1.132,0.267,-0.661,0.851,0.654,0.529,-0.789,0.112,1.452,-0.09,0.776,1.563,2.251,2.934,3.207,5.483,4.125,2.768,4.643,3.905,1.558,-0.63,-1.696,-1.96,-2.448,-1.947,-2.053,-2.229,-0.538,-0.227,0.963,1.343,0.436,1.627,2.389,1.445,2.04,3.273,4.443,2.488,2.019,1.29,-0.559,0.003,-0.62,-1.18,-1.693,-2.474,0.694,0.711,-1.44,0.738,0.378,0.418,0.115,-1.436,-1.488,-3.182,-2.08,-2.6,-2.857,-2.139,-3.896,-2.716,-2.012,-2.942,-2.474,-2.983,-1.352,0.354,-0.077,0.246,-0.687,0.053,-2.364,-6.735,-5.955,-5.144,-2.424,-0.277,-0.058,1.246,2.0,
-6.051,-0.687,7.599,7.607,7.379,7.306,5.133,-0.658,-6.141,-9.125,-13.673,-15.737,-10.387,-7.161,-4.938,-1.066,3.421,2.94,2.041,8.873,9.206,4.377,5.558,6.273,6.504,3.226,2.078,3.782,1.271,0.842,-1.023,-5.293,-6.871,-6.525,-5.962,-6.32,-2.153,6.194,10.081,8.336,5.518,2.853,-1.761,-2.223,-0.299,0.716,0.806,4.55,6.397,7.393,4.426,2.237,4.081,2.023,-3.989,-3.935,-2.933,-4.979,-6.351,-4.702,-1.86,-1.578,-2.084,-2.359,0.711,-0.641,-4.489,2.352,8.783,3.21,1.963,2.942,2.563,-1.316,-6.025,-2.477,-1.359,-2.085,-2.017,-0.08,-0.443,-2.489,-0.533,1.461,0.203,-2.475,-6.26,-4.708,0.782,1.506,-2.143,1.017,7.996,2.006,-4.46,-2.597,-0.729,-2.455,-3.195,-1.047,-2.078,2.0,
-0.323,1.75,7.032,6.128,5.183,3.249,0.37,-3.195,-9.022,-13.61,-15.97,-15.162,-7.633,-5.206,-4.05,-1.006,3.443,2.525,-0.176,6.676,8.414,4.549,2.265,0.145,1.095,0.174,-0.431,3.721,3.193,3.34,0.966,-2.726,-5.915,-6.553,-5.559,-6.219,-1.195,6.446,8.105,5.061,4.119,3.09,-3.43,-4.0,1.189,2.342,2.523,6.657,6.993,6.003,3.297,0.185,-0.542,-2.617,-7.348,-6.348,-3.664,-5.376,-8.24,-4.034,0.747,1.738,2.229,2.112,5.549,2.836,-2.071,3.997,6.513,-1.393,-1.592,-0.076,-0.581,-2.957,-4.736,0.798,1.961,0.663,1.289,3.568,1.816,-1.022,-0.843,-3.151,-6.9,-10.418,-13.013,-9.982,-4.007,0.53,2.103,6.539,13.162,7.993,1.866,3.552,4.923,4.581,3.413,4.645,2.31,2.0,
-0.285,1.416,4.273,1.963,2.038,2.828,-1.34,-3.138,-3.129,-6.892,-11.443,-13.322,-8.913,-7.03,-5.262,-3.083,1.131,4.029,4.082,6.685,6.367,4.826,3.853,0.506,-1.976,-3.191,-1.855,-0.705,-0.682,2.734,3.094,1.901,1.783,2.287,5.684,2.527,2.045,6.113,7.023,3.42,1.847,1.547,-0.978,-3.339,-3.855,-4.783,-6.33,-5.274,-2.099,-1.75,-0.35,2.411,1.867,2.87,2.491,3.236,3.91,3.924,2.929,5.318,3.998,2.635,4.111,2.417,-0.614,-4.644,-6.885,-1.626,-2.107,-7.851,-5.713,-2.994,-2.127,-1.085,-1.202,0.02,-1.189,-2.065,-3.777,-2.275,-1.689,-3.229,-2.918,-3.523,-6.07,-7.423,-4.707,-0.888,3.595,6.003,5.029,3.213,4.47,1.772,-4.057,-6.146,-5.091,-1.228,-0.378,0.628,2.93,2.0,
-0.124,-0.209,-0.166,-0.245,-0.252,-0.316,-0.438,-0.373,-0.362,-0.162,0.073,0.283,0.416,0.661,0.622,0.249,0.422,0.482,0.167,0.184,0.518,0.626,0.273,0.034,-0.11,-0.295,-0.349,-0.246,0.016,0.266,0.267,0.072,-0.341,-0.635,-0.571,-0.527,-0.529,-0.101,0.421,0.337,0.221,0.308,0.328,0.504,0.543,0.411,0.28,0.385,0.142,0.009,0.135,0.257,0.102,-0.029,-0.295,-0.416,-0.542,-0.629,-0.452,-0.132,-0.001,0.045,0.178,0.009,-0.015,0.018,-0.053,-0.211,-0.136,0.062,0.103,0.378,0.594,0.342,0.129,-0.002,0.127,0.035,0.134,0.334,0.267,0.061,-0.17,-0.363,-0.46,-0.819,-0.64,-0.257,-0.13,0.005,0.533,0.744,0.526,0.493,0.72,0.581,0.408,0.142,0.126,-0.016,-0.166,2.0,
-2.063,-2.237,-2.895,-2.035,-1.209,-0.487,-0.69,-0.825,-0.128,-0.276,-0.893,-0.461,0.927,1.173,0.42,0.964,1.24,0.227,0.205,-0.724,-1.049,-2.06,-3.191,-3.665,-3.896,-3.991,-4.678,-4.578,-3.713,-2.369,-1.153,-0.147,0.727,1.554,0.599,-1.175,-1.087,-1.228,-1.321,-1.584,-1.123,-0.444,-1.083,-0.723,-0.324,-1.308,-1.224,0.888,1.224,0.127,-0.083,0.309,-0.835,-1.917,-1.604,-1.455,-1.545,-0.805,1.093,2.084,1.295,1.664,1.301,-0.317,-1.345,-1.605,-1.574,-2.163,-2.472,-2.324,-2.507,-2.193,-2.971,-2.83,-1.573,-1.595,-1.071,0.633,1.582,0.963,0.06,1.524,1.602,0.775,-0.165,-1.375,-0.442,-1.648,-1.698,0.764,0.503,0.38,0.873,1.5,1.419,0.009,0.072,0.623,-0.003,-0.187,-0.212,2.0,
